"λ_H","λ_E","w_H","wait","wait1","improvement","v"
1.3412244897959185,0.08081632653061224,240.9060713232141,123.68855832841201,-880.8251631458709,false,"0.6281632653061224"
1.4428571428571428,0.08081632653061224,228.64725454847297,111.4297415536709,-841.3021122394643,false,"0.6889795918367347"
1.5444897959183674,0.08081632653061224,269.42021394842783,152.20270095362577,-724.6573558693112,false,"0.6889795918367347"
1.6461224489795918,0.08081632653061224,244.57157442437187,127.3540614295698,-718.4242934323039,false,"0.6889795918367347"
1.7477551020408164,0.08081632653061224,262.35949470479187,145.1419817099898,-639.3746178155432,false,"0.8106122448979591"
1.8493877551020408,0.08081632653061224,258.82788268448536,141.6103696896833,-597.8118847146682,false,"0.8714285714285714"
1.9510204081632654,0.08081632653061224,243.96104628687937,126.74353329207729,-569.3321887203731,false,"0.9322448979591836"
2.0526530612244898,0.08081632653061224,253.17140425551935,135.95389126071728,-548.4792140813572,false,"0.9322448979591836"
2.1542857142857144,0.08081632653061224,253.91347084354672,136.69595784874463,-488.0894097018481,false,"1.0538775510204081"
2.255918367346939,0.08081632653061224,262.5791954748754,145.36168248007334,-440.6763071006461,false,"1.1146938775510205"
2.357551020408163,0.08081632653061224,263.5024473069999,146.28493431219783,-417.6111668041424,false,"0.993061224489796"
2.4591836734693877,0.08081632653061224,251.3720765381165,134.1545635433144,-439.65148416208467,false,"1.0538775510204081"
2.5608163265306123,0.08081632653061224,246.93379411188297,129.71628111708088,-366.03610240512364,false,"1.1146938775510205"
2.662448979591837,0.08081632653061224,244.1721093798076,126.95459638500553,-365.6265344004539,false,"1.2971428571428572"
2.764081632653061,0.08081632653061224,230.33135043531928,113.1138374405172,-337.9258593801048,false,"1.2363265306122448"
2.8657142857142857,0.08081632653061224,239.82516379996414,122.60765080516207,-335.1988246106538,false,"1.2971428571428572"
2.9673469387755103,0.08081632653061224,236.45644622809317,119.23893323329109,-317.13319356935784,false,"1.2971428571428572"
3.068979591836735,0.08081632653061224,233.316740512141,116.09922751733892,-294.43969515006165,false,"1.4187755102040815"
3.170612244897959,0.08081632653061224,244.88190630970158,127.6643933148995,-273.39285381714376,false,"1.4187755102040815"
3.2722448979591836,0.08081632653061224,232.78436022170862,115.56684722690655,-275.77315976642944,false,"1.4187755102040815"
3.373877551020408,0.08081632653061224,237.51694917404444,120.29943617924236,-242.71977297716296,false,"1.4795918367346939"
3.475510204081633,0.08081632653061224,226.8456228999508,109.62810990514872,-245.91660984641044,false,"1.4187755102040815"
3.577142857142857,0.08081632653061224,224.29515085351633,107.07763785871425,-227.62746668093976,false,"1.4795918367346939"
3.6787755102040816,0.08081632653061224,233.20980950723612,115.99229651243404,-218.24053901196044,false,"1.4795918367346939"
3.780408163265306,0.08081632653061224,215.32727414498683,98.10976115018475,-209.99908419097048,false,"1.6012244897959185"
3.8820408163265308,0.08081632653061224,218.70003942240513,101.48252642760305,-203.50891318622658,false,"1.6012244897959185"
3.983673469387755,0.08081632653061224,212.9149847022698,95.69747170746773,-199.4123261766573,false,"1.6620408163265306"
4.08530612244898,0.08081632653061224,214.40956324749985,97.19205025269777,-178.41360122235008,false,"1.5404081632653062"
4.186938775510204,0.08081632653061224,226.82800660031856,109.61049360551648,-166.74566161225604,false,"1.6012244897959185"
4.288571428571428,0.08081632653061224,216.40381124697612,99.18629825217404,-173.63854622708962,false,"1.6620408163265306"
4.390204081632653,0.08081632653061224,208.6577242493885,91.44021125458643,-166.54367529492137,false,"1.7228571428571429"
4.4918367346938775,0.08081632653061224,208.14784008358797,90.93032708878589,-169.19579765441077,false,"1.6012244897959185"
4.593469387755102,0.08081632653061224,203.92190759423025,86.70439459942817,-153.75484399054542,false,"1.7228571428571429"
4.695102040816327,0.08081632653061224,208.15335873820757,90.9358457434055,-142.00729159785035,false,"1.6012244897959185"
4.796734693877551,0.08081632653061224,202.3272285227579,85.10971552795583,-155.75289545215847,false,"1.7836734693877552"
4.898367346938776,0.08081632653061224,198.92627821890412,81.70876522410204,-126.32566916479553,false,"1.7836734693877552"
5.0,0.08081632653061224,192.31880581100896,75.10129281620688,-143.15564440890304,false,"2.026938775510204"
0.02,0.1416326530612245,97.5531356085017,-19.664377386300373,-608.2045613127298,true,"0.0"
0.12163265306122449,0.1416326530612245,109.64695635574007,-7.570556639062005,-1270.6866820009982,true,"0.08081632653061224"
0.223265306122449,0.1416326530612245,121.9097346046566,4.692221609854528,-2105.343130245747,false,"0.1416326530612245"
0.3248979591836735,0.1416326530612245,113.71844361454433,-3.499069380257751,-2450.8144869318317,true,"0.20244897959183675"
